group,metric,value,target,unit,source
latency,request_p50,6.7,,ms,phoenix
latency,request_p95,546.7,,ms,phoenix
latency,thinking_p50,1.0,,ms,phoenix
latency,thinking_p95,2.1,,ms,phoenix
latency,acting_p50,0.0,,ms,phoenix
latency,acting_p95,71.4,,ms,phoenix
latency,tool_p50,8.0,,ms,phoenix
latency,tool_p95,800.8,,ms,phoenix
latency,retrieval_p50,3.0,,ms,phoenix
latency,retrieval_p95,475.1,,ms,phoenix
tokens,input_total,0.0,,tokens,phoenix
tokens,output_total,0.0,,tokens,phoenix
tokens,reasoning_total,0.0,,tokens,phoenix
tokens,model_calls,11.0,,count,phoenix
cost,usd_per_traced_request,0.0,,usd,phoenix
cost,usd_total,0.0,,usd,phoenix
traffic,traces,318.0,,count,phoenix
traffic,spans,1119.0,,count,phoenix
traffic,spans_acting,211.0,,count,phoenix
traffic,spans_retrieval,712.0,,count,phoenix
traffic,spans_thinking,11.0,,count,phoenix
traffic,spans_tool,185.0,,count,phoenix
accuracy,outcome_accuracy_macro,0.6991,,rate,eval
accuracy,directional_agreement_macro,0.6766,,rate,eval
accuracy,human_review_agreement_macro,0.6933,,rate,eval
accuracy,supervisor_routing_accuracy_macro,1.0,1.0,rate,eval
accuracy_by_product,EDUCATION_LOAN_outcome_accuracy,0.7222,,rate,eval
accuracy_by_product,MORTGAGE_outcome_accuracy,0.6761,,rate,eval
grounding,citation_validity,1.0,1.0,rate,eval
grounding,citation_recall,0.7095,,rate,eval
grounding,faithfulness_deterministic,1.0,,rate,eval
reliability,eval_failure_rate,0.0,0.0,rate,eval
reliability,eval_halted_on_budget,0.0,0,count,eval
reliability,error_spans,0.0,0,count,phoenix
reliability,steps_taken_mean,11.4634,32,steps,eval
