application_id,borrower_id,borrower_role,borrower_order,joint_credit_intent
APP-000001,BORR-000001,primary,1,false
APP-000002,BORR-000002,primary,1,false
APP-000003,BORR-000003,primary,1,false
APP-000004,BORR-000004,primary,1,false
APP-000005,BORR-000005,primary,1,true
APP-000005,BORR-000006,co_borrower,2,true
APP-000006,BORR-000007,primary,1,false
APP-000007,BORR-000008,primary,1,false
APP-000008,BORR-000009,primary,1,false
APP-000009,BORR-000010,primary,1,false
APP-000010,BORR-000011,primary,1,false
APP-000011,BORR-000012,primary,1,false
APP-000012,BORR-000013,primary,1,false
APP-000013,BORR-000014,primary,1,true
APP-000013,BORR-000015,co_borrower,2,true
APP-000014,BORR-000016,primary,1,false
APP-000015,BORR-000017,primary,1,true
APP-000015,BORR-000018,co_borrower,2,true
APP-000016,BORR-000019,primary,1,false
APP-000017,BORR-000020,primary,1,false
APP-000018,BORR-000021,primary,1,false
APP-000019,BORR-000022,primary,1,true
APP-000019,BORR-000023,co_borrower,2,true
APP-000020,BORR-000024,primary,1,false
APP-000021,BORR-000025,primary,1,false
APP-000022,BORR-000026,primary,1,true
APP-000022,BORR-000027,co_borrower,2,true
APP-000023,BORR-000028,primary,1,true
APP-000023,BORR-000029,co_borrower,2,true
APP-000024,BORR-000030,primary,1,false
APP-000025,BORR-000031,primary,1,false
APP-000026,BORR-000032,primary,1,false
APP-000027,BORR-000033,primary,1,true
APP-000027,BORR-000034,co_borrower,2,true
APP-000028,BORR-000035,primary,1,false
APP-000029,BORR-000036,primary,1,false
APP-000030,BORR-000037,primary,1,false
APP-000031,BORR-000038,primary,1,false
APP-000032,BORR-000039,primary,1,false
APP-000033,BORR-000040,primary,1,false
APP-000034,BORR-000041,primary,1,false
APP-000035,BORR-000042,primary,1,false
APP-000036,BORR-000043,primary,1,true
APP-000036,BORR-000044,co_borrower,2,true
APP-000037,BORR-000045,primary,1,false
APP-000038,BORR-000046,primary,1,false
APP-000039,BORR-000047,primary,1,false
APP-000040,BORR-000048,primary,1,false
APP-000041,BORR-000049,primary,1,false
APP-000042,BORR-000050,primary,1,false
APP-000043,BORR-000051,primary,1,false
APP-000044,BORR-000052,primary,1,false
APP-000045,BORR-000053,primary,1,true
APP-000045,BORR-000054,co_borrower,2,true
APP-000046,BORR-000055,primary,1,false
APP-000047,BORR-000056,primary,1,true
APP-000047,BORR-000057,co_borrower,2,true
APP-000048,BORR-000058,primary,1,false
APP-000049,BORR-000059,primary,1,false
APP-000050,BORR-000060,primary,1,true
APP-000050,BORR-000061,co_borrower,2,true
APP-000051,BORR-000062,primary,1,false
APP-000052,BORR-000063,primary,1,false
APP-000053,BORR-000064,primary,1,false
APP-000054,BORR-000065,primary,1,false
APP-000055,BORR-000066,primary,1,false
APP-000056,BORR-000067,primary,1,false
APP-000057,BORR-000068,primary,1,true
APP-000057,BORR-000069,co_borrower,2,true
APP-000058,BORR-000070,primary,1,false
APP-000059,BORR-000071,primary,1,false
APP-000060,BORR-000072,primary,1,false
APP-000061,BORR-000073,primary,1,true
APP-000061,BORR-000074,co_borrower,2,true
APP-000062,BORR-000075,primary,1,true
APP-000062,BORR-000076,co_borrower,2,true
APP-000063,BORR-000001,primary,1,false
APP-000064,BORR-000011,primary,1,false
APP-000065,BORR-000077,primary,1,true
APP-000065,BORR-000078,co_borrower,2,true
APP-000066,BORR-000079,primary,1,false
APP-000067,BORR-000080,primary,1,false
APP-000068,BORR-000081,primary,1,false
APP-000069,BORR-000082,primary,1,false
APP-000070,BORR-000083,primary,1,false
APP-000071,BORR-000084,primary,1,true
APP-000071,BORR-000085,co_borrower,2,true
APP-000072,BORR-000086,primary,1,false
APP-000073,BORR-000087,primary,1,true
APP-000073,BORR-000088,co_borrower,2,true
APP-000074,BORR-000089,primary,1,false
APP-000075,BORR-000090,primary,1,false
