application_id,scenario_id,application_date,underwriting_as_of_date,received_date,channel,loan_purpose,product_family,occupancy_type,borrower_count,primary_borrower_id,application_status,loan_officer_id,loan_officer_identifier_type,household_size
APP-000001,SCN-001,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000001,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000002,SCN-002,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000002,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000003,SCN-003,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000003,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000004,SCN-004,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000004,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000005,SCN-005,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,2,BORR-000005,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000006,SCN-006,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000007,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000007,SCN-007,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000008,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000008,SCN-008,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000009,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000009,SCN-009,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000010,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000010,SCN-010,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000011,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000011,SCN-011,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000012,in_underwriting,MLO-0417,synthetic unique identifier,2
