extraction_id,document_id,application_id,field_name,extracted_value,page,extraction_confidence
APP-000001-DOC-01-EX-01,APP-000001-DOC-01,APP-000001,application_id,APP-000001,1,0.98
APP-000001-DOC-01-EX-02,APP-000001-DOC-01,APP-000001,loan_purpose,purchase,1,0.98
APP-000001-DOC-01-EX-03,APP-000001-DOC-01,APP-000001,requested_loan_amount,320000.00,1,0.98
APP-000001-DOC-01-EX-04,APP-000001-DOC-01,APP-000001,occupancy_type,primary_residence,1,0.98
APP-000001-DOC-01-EX-05,APP-000001-DOC-01,APP-000001,declared_monthly_income,8325.00,1,0.98
APP-000001-DOC-02-EX-01,APP-000001-DOC-02,APP-000001,identity_verification_status,VERIFIED,1,0.98
APP-000001-DOC-02-EX-02,APP-000001-DOC-02,APP-000001,verified_name,Emeka Pemberton,1,0.98
APP-000001-DOC-02-EX-03,APP-000001-DOC-02,APP-000001,verified_date_of_birth,1977-02-06,1,0.98
APP-000001-DOC-03-EX-01,APP-000001-DOC-03,APP-000001,score_1,733,1,0.98
APP-000001-DOC-03-EX-02,APP-000001-DOC-03,APP-000001,score_2,742,1,0.98
APP-000001-DOC-03-EX-03,APP-000001-DOC-03,APP-000001,score_3,750,1,0.98
APP-000001-DOC-03-EX-04,APP-000001-DOC-03,APP-000001,report_date,2026-07-22,1,0.98
APP-000001-DOC-03-EX-05,APP-000001-DOC-03,APP-000001,recent_inquiries_90d,1,1,0.98
APP-000001-DOC-04-EX-01,APP-000001-DOC-04,APP-000001,employer_name,Sable Ridge Software,1,0.98
APP-000001-DOC-04-EX-02,APP-000001-DOC-04,APP-000001,pay_period_end,2026-08-01,1,0.98
APP-000001-DOC-04-EX-03,APP-000001-DOC-04,APP-000001,gross_per_period,3842.31,1,0.98
APP-000001-DOC-04-EX-04,APP-000001-DOC-04,APP-000001,ytd_gross,57634.65,1,0.98
APP-000001-DOC-04-EX-05,APP-000001-DOC-04,APP-000001,pay_frequency,bi_weekly,1,0.98
APP-000001-DOC-05-EX-01,APP-000001-DOC-05,APP-000001,tax_year,2025,1,0.98
APP-000001-DOC-05-EX-02,APP-000001-DOC-05,APP-000001,employer_name,Sable Ridge Software,1,0.98
APP-000001-DOC-05-EX-03,APP-000001-DOC-05,APP-000001,annual_wages,96403.50,1,0.98
APP-000001-DOC-06-EX-01,APP-000001-DOC-06,APP-000001,employer_name,Sable Ridge Software,1,0.98
APP-000001-DOC-06-EX-02,APP-000001-DOC-06,APP-000001,employment_start_date,2022-02-12,1,0.98
APP-000001-DOC-06-EX-03,APP-000001-DOC-06,APP-000001,employment_status,Current,1,0.98
APP-000001-DOC-06-EX-04,APP-000001-DOC-06,APP-000001,position,Systems Analyst,1,0.98
APP-000001-DOC-07-EX-01,APP-000001-DOC-07,APP-000001,institution,Cascade Mutual Credit Union,1,0.98
APP-000001-DOC-07-EX-02,APP-000001-DOC-07,APP-000001,account_masked,******0001,1,0.98
APP-000001-DOC-07-EX-03,APP-000001-DOC-07,APP-000001,closing_balance,31138.25,1,0.98
APP-000001-DOC-07-EX-04,APP-000001-DOC-07,APP-000001,statement_period_end,2026-08-03,1,0.98
