employment_id,application_id,borrower_id,employer_name,occupation,employment_type,self_employed_flag,business_ownership_pct,declared_start_date,verified_start_date,end_date,is_current,tenure_months,pay_frequency
APP-000001-EMP-1,APP-000001,BORR-000001,Sable Ridge Software,Systems Analyst,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000001-EMP-1P,APP-000001,BORR-000001,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000002-EMP-1,APP-000002,BORR-000002,Aldermill Retail Group,Store Manager,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000002-EMP-1P,APP-000002,BORR-000002,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000003-EMP-1,APP-000003,BORR-000003,Pinewater Utilities District,Grid Technician,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000003-EMP-1P,APP-000003,BORR-000003,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000004-EMP-1,APP-000004,BORR-000004,Meridian Civic Health,Clinical Technologist,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000004-EMP-1P,APP-000004,BORR-000004,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000005-EMP-1,APP-000005,BORR-000005,Orchard Point Hospitality,Events Director,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000005-EMP-1P,APP-000005,BORR-000005,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000005-EMP-2,APP-000005,BORR-000006,Harborline Logistics,Warehouse Planner,employed,false,0,2022-09-12,2022-09-12,,true,47,bi_weekly
APP-000005-EMP-2P,APP-000005,BORR-000006,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-08-12,false,13,bi_weekly
APP-000006-EMP-1,APP-000006,BORR-000007,Pinewater Utilities District,Grid Technician,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000006-EMP-1P,APP-000006,BORR-000007,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000007-EMP-1,APP-000007,BORR-000008,Cartwright & Vale Advisory,Analyst,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000007-EMP-1P,APP-000007,BORR-000008,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000008-EMP-1,APP-000008,BORR-000009,Meridian Civic Health,Clinical Technologist,employed,false,0,2025-09-12,2025-09-12,,true,11,bi_weekly
APP-000008-EMP-1P,APP-000008,BORR-000009,Kestrel Freight Services,Operations Associate,employed,false,0,2025-03-12,2025-03-12,2025-08-12,false,5,bi_weekly
APP-000009-EMP-1,APP-000009,BORR-000010,Cartwright & Vale Advisory,Account Director,employed,false,0,2026-04-12,2026-04-12,,true,4,bi_weekly
APP-000009-EMP-1P,APP-000009,BORR-000010,Kestrel Freight Services,Operations Associate,employed,false,0,2020-08-12,2020-08-12,2026-03-12,false,67,bi_weekly
APP-000010-EMP-1,APP-000010,BORR-000011,Orchard Point Hospitality,Operations Manager,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000010-EMP-1P,APP-000010,BORR-000011,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000011-EMP-1,APP-000011,BORR-000012,Silverbrook Diagnostics,Registered Nurse,self_employed,true,100,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000011-EMP-1P,APP-000011,BORR-000012,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000012-EMP-1,APP-000012,BORR-000013,Pinewater Utilities District,Field Supervisor,employed,false,0,2022-03-04,2022-03-04,,true,54,bi_weekly
APP-000012-EMP-1P,APP-000012,BORR-000013,Kestrel Freight Services,Operations Associate,employed,false,0,2021-08-04,2021-08-04,2022-02-04,false,6,bi_weekly
APP-000013-EMP-1,APP-000013,BORR-000014,Sable Ridge Software,Systems Analyst,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000013-EMP-1P,APP-000013,BORR-000014,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000013-EMP-2,APP-000013,BORR-000015,Latchford Construction,Estimator,employed,false,0,2022-09-12,2022-09-12,,true,47,bi_weekly
APP-000013-EMP-2P,APP-000013,BORR-000015,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-08-12,false,13,bi_weekly
APP-000014-EMP-1,APP-000014,BORR-000016,Grayson Municipal Authority,Records Administrator,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000014-EMP-1P,APP-000014,BORR-000016,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000015-EMP-1,APP-000015,BORR-000017,Thornhill Insurance Brokers,Claims Adjuster,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000015-EMP-1P,APP-000015,BORR-000017,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000015-EMP-2,APP-000015,BORR-000018,Verity Loom Textiles,Quality Engineer,employed,false,0,2022-09-12,2022-09-12,,true,47,bi_weekly
APP-000015-EMP-2P,APP-000015,BORR-000018,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-08-12,false,13,bi_weekly
APP-000016-EMP-1,APP-000016,BORR-000019,Thornhill Insurance Brokers,Broker,employed,false,0,2026-08-12,2026-08-12,,true,0,bi_weekly
APP-000016-EMP-1P,APP-000016,BORR-000019,Kestrel Freight Services,Operations Associate,employed,false,0,2022-07-12,2022-07-12,2026-07-12,false,48,bi_weekly
APP-000017-EMP-1,APP-000017,BORR-000020,Sable Ridge Software,Systems Analyst,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000017-EMP-1P,APP-000017,BORR-000020,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000018-EMP-1,APP-000018,BORR-000021,Northgate Public Schools,Classroom Teacher,employed,false,0,2022-03-04,2022-03-04,,true,54,bi_weekly
APP-000018-EMP-1P,APP-000018,BORR-000021,Kestrel Freight Services,Operations Associate,employed,false,0,2021-08-04,2021-08-04,2022-02-04,false,6,bi_weekly
APP-000019-EMP-1,APP-000019,BORR-000022,Harborline Logistics,Warehouse Planner,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000019-EMP-1P,APP-000019,BORR-000022,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000019-EMP-2,APP-000019,BORR-000023,Grayson Municipal Authority,Inspector,employed,false,0,2022-09-12,2022-09-12,,true,47,bi_weekly
APP-000019-EMP-2P,APP-000019,BORR-000023,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-08-12,false,13,bi_weekly
APP-000020-EMP-1,APP-000020,BORR-000024,Pinewater Utilities District,Compliance Officer,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000020-EMP-1P,APP-000020,BORR-000024,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000021-EMP-1,APP-000021,BORR-000025,Thornhill Insurance Brokers,Broker,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000021-EMP-1P,APP-000021,BORR-000025,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000022-EMP-1,APP-000022,BORR-000026,Latchford Construction,Site Supervisor,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000022-EMP-1P,APP-000022,BORR-000026,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000022-EMP-2,APP-000022,BORR-000027,Kestrel Freight Services,Logistics Planner,employed,false,0,2022-09-12,2022-09-12,,true,47,bi_weekly
APP-000022-EMP-2P,APP-000022,BORR-000027,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-08-12,false,13,bi_weekly
APP-000023-EMP-1,APP-000023,BORR-000028,Thornhill Insurance Brokers,Underwriting Assistant,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000023-EMP-1P,APP-000023,BORR-000028,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000023-EMP-2,APP-000023,BORR-000029,Orchard Point Hospitality,Front Office Manager,employed,false,0,2022-09-12,2022-09-12,,true,47,bi_weekly
APP-000023-EMP-2P,APP-000023,BORR-000029,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-08-12,false,13,bi_weekly
APP-000024-EMP-1,APP-000024,BORR-000030,Fenwick Structural Engineering,Structural Engineer,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000024-EMP-1P,APP-000024,BORR-000030,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000025-EMP-1,APP-000025,BORR-000031,Pinewater Utilities District,Compliance Officer,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000025-EMP-1P,APP-000025,BORR-000031,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000026-EMP-1,APP-000026,BORR-000032,Kestrel Freight Services,Dispatch Lead,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000026-EMP-1P,APP-000026,BORR-000032,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000027-EMP-1,APP-000027,BORR-000033,Fenwick Structural Engineering,Structural Engineer,employed,false,0,2022-02-12,2022-02-12,,true,54,bi_weekly
APP-000027-EMP-1P,APP-000027,BORR-000033,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-01-12,false,6,bi_weekly
APP-000027-EMP-2,APP-000027,BORR-000034,Latchford Construction,Project Coordinator,employed,false,0,2022-09-12,2022-09-12,,true,47,bi_weekly
APP-000027-EMP-2P,APP-000027,BORR-000034,Kestrel Freight Services,Operations Associate,employed,false,0,2021-07-12,2021-07-12,2022-08-12,false,13,bi_weekly
