income_id,application_id,borrower_id,income_type,declared_monthly_amount,verified_monthly_amount,qualifying_monthly_amount,annual_amount,qualifying_rule_id,evidence_document_types
APP-000001-INC-01,APP-000001,BORR-000001,salaried,8325.00,8325.00,8325.00,99900.00,INC-SAL-001,paystub|w2|employment_verification
APP-000002-INC-01,APP-000002,BORR-000002,salaried,9466.67,9466.67,9466.67,113600.04,INC-SAL-001,paystub|w2|employment_verification
APP-000003-INC-01,APP-000003,BORR-000003,salaried,11241.67,11241.67,11241.67,134900.04,INC-SAL-001,paystub|w2|employment_verification
APP-000004-INC-01,APP-000004,BORR-000004,salaried,7900.00,7900.00,7900.00,94800.00,INC-SAL-001,paystub|w2|employment_verification
APP-000005-INC-01,APP-000005,BORR-000005,salaried,7738.17,7738.17,7738.17,92858.04,INC-SAL-001,paystub|w2|employment_verification
APP-000005-INC-02,APP-000005,BORR-000006,salaried,5603.50,5603.50,5603.50,67242.00,INC-SAL-001,paystub|w2|employment_verification
APP-000006-INC-01,APP-000006,BORR-000007,salaried,9025.00,9025.00,9025.00,108300.00,INC-SAL-001,paystub|w2|employment_verification
APP-000007-INC-01,APP-000007,BORR-000008,salaried,11125.00,11125.00,11125.00,133500.00,INC-SAL-001,paystub|w2|employment_verification
APP-000008-INC-01,APP-000008,BORR-000009,salaried,9400.00,9400.00,9400.00,112800.00,INC-SAL-001,paystub|w2|employment_verification
APP-000009-INC-01,APP-000009,BORR-000010,salaried,9091.67,9091.67,9091.67,109100.04,INC-SAL-001,paystub|w2|employment_verification
APP-000010-INC-01,APP-000010,BORR-000011,hourly_variable,8875.00,8875.00,8875.00,106500.00,INC-HRL-002,paystub|w2|employment_verification
APP-000011-INC-01,APP-000011,BORR-000012,self_employed,8525.00,8525.00,8525.00,102300.00,INC-SEB-003,tax_return|profit_and_loss
APP-000012-INC-01,APP-000012,BORR-000013,salaried,7942.31,7942.31,7942.31,95307.72,INC-SAL-001,paystub|w2|employment_verification
APP-000012-INC-02,APP-000012,BORR-000013,commission,2382.69,2382.69,2382.69,28592.28,INC-VAR-002,paystub|w2|tax_return
APP-000013-INC-01,APP-000013,BORR-000014,salaried,5541.95,5541.95,5541.95,66503.40,INC-SAL-001,paystub|w2|employment_verification
APP-000013-INC-02,APP-000013,BORR-000014,rental,1719.92,1719.92,1719.92,20639.04,INC-RNT-002,lease_agreement|tax_return
APP-000013-INC-03,APP-000013,BORR-000015,salaried,4013.13,4013.13,4013.13,48157.56,INC-SAL-001,paystub|w2|employment_verification
APP-000014-INC-01,APP-000014,BORR-000016,salaried,8750.00,8750.00,8750.00,105000.00,INC-SAL-001,paystub|w2|employment_verification
