property_id,application_id,street,city,state,postal_code,property_type,units,occupancy_type,purchase_price,appraised_value,value_used_for_ltv,valuation_method,annual_property_tax,annual_hazard_premium,monthly_hoa,flood_zone,flood_zone_sfha,ownership_months
APP-000001-PROP,APP-000001,2230 Kingsmere Lane,Yorba Linda,CA,92886,single_family_detached,1,primary_residence,400000.00,408000.00,400000.00,full_appraisal,2919.96,1400.04,0,X,false,
APP-000002-PROP,APP-000002,2731 Sablecrest Drive,Naperville,IL,60540,single_family_detached,1,primary_residence,410000.00,418200.00,410000.00,full_appraisal,8528.04,1434.96,0,X,false,
APP-000003-PROP,APP-000003,2383 Sablecrest Drive,Yorba Linda,CA,92886,single_family_detached,1,primary_residence,540000.00,550800.00,540000.00,full_appraisal,3942.00,1890.00,0,X,false,
APP-000004-PROP,APP-000004,2761 Copperbeech Drive,Beaverton,OR,97006,single_family_detached,1,primary_residence,380000.00,387600.00,380000.00,full_appraisal,3686.04,1329.96,0,X,false,
APP-000005-PROP,APP-000005,2300 Ambersley Road,Broomfield,CO,80020,single_family_detached,1,primary_residence,500000.00,510000.00,500000.00,full_appraisal,2750.04,1749.96,0,X,false,
APP-000006-PROP,APP-000006,2775 Sablecrest Drive,Rochester Hills,MI,48307,single_family_detached,1,primary_residence,390000.00,397800.00,390000.00,full_appraisal,6006.00,1365.00,0,X,false,
APP-000007-PROP,APP-000007,2807 Sablecrest Drive,Naperville,IL,60540,single_family_detached,1,primary_residence,420000.00,428400.00,420000.00,full_appraisal,8736.00,1470.00,0,X,false,
APP-000008-PROP,APP-000008,2375 Sablecrest Drive,Sandy Springs,GA,30328,single_family_detached,1,primary_residence,440000.00,448800.00,440000.00,full_appraisal,4047.96,1539.96,0,X,false,
APP-000009-PROP,APP-000009,2478 Marlowe Crossing,Cranston,RI,02910,single_family_detached,1,primary_residence,400000.00,408000.00,400000.00,full_appraisal,5600.04,1400.04,0,X,false,
APP-000010-PROP,APP-000010,2672 Wrenfield Way,Overland Park,KS,66210,single_family_detached,1,primary_residence,390000.00,397800.00,390000.00,full_appraisal,5499.00,1365.00,0,X,false,
APP-000011-PROP,APP-000011,2878 Marlowe Crossing,Broomfield,CO,80020,single_family_detached,1,primary_residence,420000.00,428400.00,420000.00,full_appraisal,2310.00,1470.00,0,X,false,
APP-000012-PROP,APP-000012,2648 Wrenfield Way,Beaverton,OR,97006,single_family_detached,1,primary_residence,480000.00,489600.00,480000.00,full_appraisal,4656.00,1680.00,0,X,false,
APP-000013-PROP,APP-000013,2335 Hazeldene Court,Coral Springs,FL,33071,single_family_detached,1,primary_residence,530000.00,540600.00,530000.00,full_appraisal,4716.96,1854.96,0,X,false,
APP-000014-PROP,APP-000014,2365 Copperbeech Drive,Cary,NC,27513,single_family_detached,1,primary_residence,380000.00,387600.00,380000.00,full_appraisal,2964.00,1329.96,0,X,false,
APP-000015-PROP,APP-000015,2814 Kingsmere Lane,Overland Park,KS,66210,single_family_detached,1,primary_residence,480000.00,489600.00,480000.00,full_appraisal,6768.00,1680.00,0,X,false,
APP-000016-PROP,APP-000016,2533 Foxglove Terrace,Franklin,TN,37067,single_family_detached,1,primary_residence,530000.00,540600.00,530000.00,full_appraisal,3498.00,1854.96,0,X,false,
APP-000017-PROP,APP-000017,2452 Ambersley Road,Rochester Hills,MI,48307,single_family_detached,1,primary_residence,1370000.00,1397400.00,1370000.00,full_appraisal,21098.04,4794.96,0,X,false,
APP-000018-PROP,APP-000018,2233 Foxglove Terrace,Sandy Springs,GA,30328,single_family_detached,1,primary_residence,2350000.00,2397000.00,2350000.00,full_appraisal,21620.04,8225.04,0,X,false,
APP-000019-PROP,APP-000019,2246 Kingsmere Lane,Yorba Linda,CA,92886,single_family_detached,1,primary_residence,200000.00,204000.00,200000.00,full_appraisal,1460.04,699.96,0,X,false,
APP-000020-PROP,APP-000020,2532 Ambersley Road,Nashua,NH,03062,single_family_detached,1,primary_residence,180000.00,183600.00,180000.00,full_appraisal,3762.00,630.00,0,X,false,
APP-000021-PROP,APP-000021,2525 Foxglove Terrace,Cary,NC,27513,single_family_detached,1,primary_residence,210000.00,214200.00,210000.00,full_appraisal,1638.00,735.00,0,X,false,
APP-000022-PROP,APP-000022,2527 Hazeldene Court,Plano,TX,75024,single_family_detached,1,primary_residence,,489600.00,489600.00,full_appraisal,8861.76,1713.60,0,X,false,46
APP-000023-PROP,APP-000023,2306 Kingsmere Lane,Coral Springs,FL,33071,single_family_detached,1,primary_residence,,448800.00,448800.00,full_appraisal,3994.32,1570.80,0,X,false,38
APP-000024-PROP,APP-000024,2767 Hazeldene Court,Cranston,RI,02910,single_family_detached,1,primary_residence,,499800.00,499800.00,full_appraisal,6997.20,1749.36,0,X,false,4
APP-000025-PROP,APP-000025,2697 Foxglove Terrace,Sandy Springs,GA,30328,single_family_detached,1,second_home,410000.00,418200.00,410000.00,full_appraisal,3771.96,1434.96,0,X,false,
APP-000026-PROP,APP-000026,2884 Ambersley Road,Plano,TX,75024,single_family_detached,1,investment,390000.00,397800.00,390000.00,full_appraisal,7059.00,1365.00,0,X,false,
