verification_id,application_id,borrower_id,category,provider,requested_date,completed_date,result,rule_id
APP-000001-VER-1,APP-000001,BORR-000001,identity,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,KYC-IDV-001
APP-000001-VER-2,APP-000001,BORR-000001,employment,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,EMP-VER-001
APP-000001-VER-3,APP-000001,BORR-000001,income,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,INC-GEN-001
APP-000001-VER-4,APP-000001,BORR-000001,assets,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,AST-ELG-001
APP-000001-VER-5,APP-000001,BORR-000001,flood_determination,SYNTH-VERIFY,2026-07-31,2026-08-04,X,PRP-ELG-004
APP-000002-VER-1,APP-000002,BORR-000002,identity,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,KYC-IDV-001
APP-000002-VER-2,APP-000002,BORR-000002,employment,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,EMP-VER-001
APP-000002-VER-3,APP-000002,BORR-000002,income,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,INC-GEN-001
APP-000002-VER-4,APP-000002,BORR-000002,assets,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,AST-ELG-001
APP-000002-VER-5,APP-000002,BORR-000002,flood_determination,SYNTH-VERIFY,2026-07-31,2026-08-04,X,PRP-ELG-004
APP-000003-VER-1,APP-000003,BORR-000003,identity,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,KYC-IDV-001
APP-000003-VER-2,APP-000003,BORR-000003,employment,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,EMP-VER-001
APP-000003-VER-3,APP-000003,BORR-000003,income,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,INC-GEN-001
APP-000003-VER-4,APP-000003,BORR-000003,assets,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,AST-ELG-001
APP-000003-VER-5,APP-000003,BORR-000003,flood_determination,SYNTH-VERIFY,2026-07-31,2026-08-04,X,PRP-ELG-004
APP-000004-VER-1,APP-000004,BORR-000004,identity,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,KYC-IDV-001
APP-000004-VER-2,APP-000004,BORR-000004,employment,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,EMP-VER-001
APP-000004-VER-3,APP-000004,BORR-000004,income,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,INC-GEN-001
APP-000004-VER-4,APP-000004,BORR-000004,assets,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,AST-ELG-001
APP-000004-VER-5,APP-000004,BORR-000004,flood_determination,SYNTH-VERIFY,2026-07-31,2026-08-04,X,PRP-ELG-004
APP-000005-VER-1,APP-000005,BORR-000005,identity,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,KYC-IDV-001
APP-000005-VER-2,APP-000005,BORR-000005,employment,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,EMP-VER-001
APP-000005-VER-3,APP-000005,BORR-000005,income,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,INC-GEN-001
APP-000005-VER-4,APP-000005,BORR-000005,assets,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,AST-ELG-001
APP-000005-VER-5,APP-000005,BORR-000005,flood_determination,SYNTH-VERIFY,2026-07-31,2026-08-04,X,PRP-ELG-004
APP-000006-VER-1,APP-000006,BORR-000007,identity,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,KYC-IDV-001
APP-000006-VER-2,APP-000006,BORR-000007,employment,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,EMP-VER-001
APP-000006-VER-3,APP-000006,BORR-000007,income,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,INC-GEN-001
APP-000006-VER-4,APP-000006,BORR-000007,assets,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,AST-ELG-001
APP-000006-VER-5,APP-000006,BORR-000007,flood_determination,SYNTH-VERIFY,2026-07-31,2026-08-04,X,PRP-ELG-004
APP-000007-VER-1,APP-000007,BORR-000008,identity,SYNTH-VERIFY,2026-07-31,2026-08-04,VERIFIED,KYC-IDV-001
