transaction_id,application_id,asset_id,transaction_type,amount,transaction_date,description,source_status,large_deposit_flag
APP-000001-TXN-EMD,APP-000001,APP-000001-AST-01,withdrawal,4000.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000002-TXN-EMD,APP-000002,APP-000002-AST-01,withdrawal,4100.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000003-TXN-EMD,APP-000003,APP-000003-AST-01,withdrawal,5400.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000004-TXN-EMD,APP-000004,APP-000004-AST-01,withdrawal,3800.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000005-TXN-EMD,APP-000005,APP-000005-AST-01,withdrawal,5000.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000006-TXN-EMD,APP-000006,APP-000006-AST-01,withdrawal,3900.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000007-TXN-EMD,APP-000007,APP-000007-AST-01,withdrawal,4200.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000008-TXN-EMD,APP-000008,APP-000008-AST-01,withdrawal,4400.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000009-TXN-EMD,APP-000009,APP-000009-AST-01,withdrawal,4000.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000010-TXN-EMD,APP-000010,APP-000010-AST-01,withdrawal,3900.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000011-TXN-EMD,APP-000011,APP-000011-AST-01,withdrawal,4200.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000012-TXN-EMD,APP-000012,APP-000012-AST-01,withdrawal,4800.00,2026-08-14,Earnest money deposit to settlement agent,SOURCED,false
APP-000013-TXN-EMD,APP-000013,APP-000013-AST-01,withdrawal,5300.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000014-TXN-EMD,APP-000014,APP-000014-AST-01,withdrawal,3800.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000015-TXN-EMD,APP-000015,APP-000015-AST-01,withdrawal,4800.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000016-TXN-EMD,APP-000016,APP-000016-AST-01,withdrawal,5300.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000017-TXN-EMD,APP-000017,APP-000017-AST-01,withdrawal,13700.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000018-TXN-EMD,APP-000018,APP-000018-AST-01,withdrawal,23500.00,2026-08-14,Earnest money deposit to settlement agent,SOURCED,false
APP-000019-TXN-EMD,APP-000019,APP-000019-AST-01,withdrawal,2000.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000020-TXN-EMD,APP-000020,APP-000020-AST-01,withdrawal,1800.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000021-TXN-EMD,APP-000021,APP-000021-AST-01,withdrawal,2100.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000025-TXN-EMD,APP-000025,APP-000025-AST-01,withdrawal,4100.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
