audit_event_id,application_id,sequence,actor_type,actor_id,action,tool,object_type,object_id,outcome,correlation_id,timestamp
APP-000001-AUD-01,APP-000001,1,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,authorise_case_access,authorisation,applications,APP-000001,GRANTED,RUN-APP-000001,2026-08-12
APP-000001-AUD-02,APP-000001,2,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,classify_request,intent_classifier,applications,APP-000001,MORTGAGE_UNDERWRITING,RUN-APP-000001,2026-08-12
APP-000001-AUD-03,APP-000001,3,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,select_policy_versions,policy_retrieval,policy_documents,as_of=2026-08-12,RESOLVED,RUN-APP-000001,2026-08-12
APP-000001-AUD-04,APP-000001,4,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,extract_document_fields,document_extraction,documents,APP-000001,COMPLETED,RUN-APP-000001,2026-08-12
APP-000001-AUD-05,APP-000001,5,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,run_calculations,calculation_engine,underwriting_calculations,APP-000001,COMPLETED,RUN-APP-000001,2026-08-12
APP-000001-AUD-06,APP-000001,6,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,evaluate_rules,rules_engine,rule_evaluations,APP-000001,23 evaluated,RUN-APP-000001,2026-08-12
APP-000001-AUD-07,APP-000001,7,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,screen_risk,risk_screening,risk_flags,APP-000001,0 flags,RUN-APP-000001,2026-08-12
APP-000001-AUD-08,APP-000001,8,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,produce_recommendation,decision_composer,decisions,APP-000001,APPROVE_RECOMMENDATION,RUN-APP-000001,2026-08-12
APP-000002-AUD-01,APP-000002,1,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,authorise_case_access,authorisation,applications,APP-000002,GRANTED,RUN-APP-000002,2026-08-12
APP-000002-AUD-02,APP-000002,2,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,classify_request,intent_classifier,applications,APP-000002,MORTGAGE_UNDERWRITING,RUN-APP-000002,2026-08-12
APP-000002-AUD-03,APP-000002,3,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,select_policy_versions,policy_retrieval,policy_documents,as_of=2026-08-12,RESOLVED,RUN-APP-000002,2026-08-12
APP-000002-AUD-04,APP-000002,4,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,extract_document_fields,document_extraction,documents,APP-000002,COMPLETED,RUN-APP-000002,2026-08-12
APP-000002-AUD-05,APP-000002,5,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,run_calculations,calculation_engine,underwriting_calculations,APP-000002,COMPLETED,RUN-APP-000002,2026-08-12
APP-000002-AUD-06,APP-000002,6,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,evaluate_rules,rules_engine,rule_evaluations,APP-000002,25 evaluated,RUN-APP-000002,2026-08-12
APP-000002-AUD-07,APP-000002,7,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,screen_risk,risk_screening,risk_flags,APP-000002,0 flags,RUN-APP-000002,2026-08-12
APP-000002-AUD-08,APP-000002,8,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,produce_recommendation,decision_composer,decisions,APP-000002,MANUAL_REVIEW_REQUIRED,RUN-APP-000002,2026-08-12
APP-000002-AUD-09,APP-000002,9,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,route_to_human_review,router,human_reviews,APP-000002,QUEUED,RUN-APP-000002,2026-08-12
APP-000003-AUD-01,APP-000003,1,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,authorise_case_access,authorisation,applications,APP-000003,GRANTED,RUN-APP-000003,2026-08-12
APP-000003-AUD-02,APP-000003,2,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,classify_request,intent_classifier,applications,APP-000003,MORTGAGE_UNDERWRITING,RUN-APP-000003,2026-08-12
APP-000003-AUD-03,APP-000003,3,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,select_policy_versions,policy_retrieval,policy_documents,as_of=2026-08-12,RESOLVED,RUN-APP-000003,2026-08-12
APP-000003-AUD-04,APP-000003,4,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,extract_document_fields,document_extraction,documents,APP-000003,COMPLETED,RUN-APP-000003,2026-08-12
APP-000003-AUD-05,APP-000003,5,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,run_calculations,calculation_engine,underwriting_calculations,APP-000003,COMPLETED,RUN-APP-000003,2026-08-12
APP-000003-AUD-06,APP-000003,6,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,evaluate_rules,rules_engine,rule_evaluations,APP-000003,23 evaluated,RUN-APP-000003,2026-08-12
APP-000003-AUD-07,APP-000003,7,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,screen_risk,risk_screening,risk_flags,APP-000003,1 flags,RUN-APP-000003,2026-08-12
APP-000003-AUD-08,APP-000003,8,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,produce_recommendation,decision_composer,decisions,APP-000003,DECLINE_RECOMMENDATION,RUN-APP-000003,2026-08-12
APP-000003-AUD-09,APP-000003,9,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,route_to_human_review,router,human_reviews,APP-000003,QUEUED,RUN-APP-000003,2026-08-12
APP-000004-AUD-01,APP-000004,1,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,authorise_case_access,authorisation,applications,APP-000004,GRANTED,RUN-APP-000004,2026-08-12
APP-000004-AUD-02,APP-000004,2,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,classify_request,intent_classifier,applications,APP-000004,MORTGAGE_UNDERWRITING,RUN-APP-000004,2026-08-12
APP-000004-AUD-03,APP-000004,3,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,select_policy_versions,policy_retrieval,policy_documents,as_of=2026-08-12,RESOLVED,RUN-APP-000004,2026-08-12
APP-000004-AUD-04,APP-000004,4,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,extract_document_fields,document_extraction,documents,APP-000004,COMPLETED,RUN-APP-000004,2026-08-12
APP-000004-AUD-05,APP-000004,5,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,run_calculations,calculation_engine,underwriting_calculations,APP-000004,COMPLETED,RUN-APP-000004,2026-08-12
APP-000004-AUD-06,APP-000004,6,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,evaluate_rules,rules_engine,rule_evaluations,APP-000004,24 evaluated,RUN-APP-000004,2026-08-12
APP-000004-AUD-07,APP-000004,7,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,screen_risk,risk_screening,risk_flags,APP-000004,1 flags,RUN-APP-000004,2026-08-12
APP-000004-AUD-08,APP-000004,8,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,produce_recommendation,decision_composer,decisions,APP-000004,DECLINE_RECOMMENDATION,RUN-APP-000004,2026-08-12
APP-000004-AUD-09,APP-000004,9,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,route_to_human_review,router,human_reviews,APP-000004,QUEUED,RUN-APP-000004,2026-08-12
APP-000005-AUD-01,APP-000005,1,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,authorise_case_access,authorisation,applications,APP-000005,GRANTED,RUN-APP-000005,2026-08-12
APP-000005-AUD-02,APP-000005,2,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,classify_request,intent_classifier,applications,APP-000005,MORTGAGE_UNDERWRITING,RUN-APP-000005,2026-08-12
APP-000005-AUD-03,APP-000005,3,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,select_policy_versions,policy_retrieval,policy_documents,as_of=2026-08-12,RESOLVED,RUN-APP-000005,2026-08-12
APP-000005-AUD-04,APP-000005,4,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,extract_document_fields,document_extraction,documents,APP-000005,COMPLETED,RUN-APP-000005,2026-08-12
APP-000005-AUD-05,APP-000005,5,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,run_calculations,calculation_engine,underwriting_calculations,APP-000005,COMPLETED,RUN-APP-000005,2026-08-12
APP-000005-AUD-06,APP-000005,6,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,evaluate_rules,rules_engine,rule_evaluations,APP-000005,24 evaluated,RUN-APP-000005,2026-08-12
APP-000005-AUD-07,APP-000005,7,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,screen_risk,risk_screening,risk_flags,APP-000005,0 flags,RUN-APP-000005,2026-08-12
APP-000005-AUD-08,APP-000005,8,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,produce_recommendation,decision_composer,decisions,APP-000005,APPROVE_RECOMMENDATION,RUN-APP-000005,2026-08-12
APP-000006-AUD-01,APP-000006,1,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,authorise_case_access,authorisation,applications,APP-000006,GRANTED,RUN-APP-000006,2026-08-12
