credit_account_id,application_id,borrower_id,liability_id,account_type,creditor,balance,credit_limit,monthly_payment,opened_date,account_status,lates_30d_24m,lates_60d_24m,lates_90d_24m,dispute_flag
APP-000001-TRD-01,APP-000001,BORR-000001,APP-000001-LIA-01,auto_loan,Northwind Card Services,3546.13,0,84.90,2022-07-14,open,0,0,0,false
APP-000001-TRD-02,APP-000001,BORR-000001,APP-000001-LIA-02,student_loan,Summit Education Lending,4763.46,0,64.92,2025-06-24,open,0,0,0,false
APP-000001-TRD-03,APP-000001,BORR-000001,APP-000001-LIA-03,revolving_credit_card,Northwind Card Services,1997.67,7134.54,59.93,2021-02-02,open,0,0,0,false
APP-000001-TRD-04,APP-000001,BORR-000001,APP-000001-LIA-04,installment_personal,Harborline Retail Credit,1294.35,0,39.96,2018-09-15,open,0,0,0,false
APP-000002-TRD-01,APP-000002,BORR-000002,APP-000002-LIA-01,auto_loan,Harborline Retail Credit,14770.94,0,353.64,2018-07-10,open,0,0,0,false
APP-000002-TRD-02,APP-000002,BORR-000002,APP-000002-LIA-02,student_loan,Harborline Retail Credit,19842.62,0,270.43,2023-12-04,open,0,0,0,false
APP-000002-TRD-03,APP-000002,BORR-000002,APP-000002-LIA-03,revolving_credit_card,Pinnacle Auto Finance,8321.00,29717.86,249.63,2019-06-12,open,0,0,0,false
APP-000002-TRD-04,APP-000002,BORR-000002,APP-000002-LIA-04,installment_personal,Northwind Card Services,5390.23,0,166.41,2020-11-07,open,0,0,0,false
APP-000003-TRD-01,APP-000003,BORR-000003,APP-000003-LIA-01,auto_loan,Summit Education Lending,7993.62,0,191.38,2021-07-14,open,0,0,0,false
APP-000003-TRD-02,APP-000003,BORR-000003,APP-000003-LIA-02,student_loan,Pinnacle Auto Finance,10738.34,0,146.35,2022-07-07,open,0,0,0,false
APP-000003-TRD-03,APP-000003,BORR-000003,APP-000003-LIA-03,revolving_credit_card,Sablefield Mortgage Servicing,4503.00,16082.14,135.09,2023-07-16,open,0,0,0,false
APP-000003-TRD-04,APP-000003,BORR-000003,APP-000003-LIA-04,installment_personal,Summit Education Lending,2917.16,0,90.06,2020-07-01,open,0,0,0,false
APP-000004-TRD-01,APP-000004,BORR-000004,APP-000004-LIA-01,auto_loan,Northwind Card Services,21322.30,0,510.49,2020-03-10,open,0,0,0,false
APP-000004-TRD-02,APP-000004,BORR-000004,APP-000004-LIA-02,student_loan,Harborline Retail Credit,28643.14,0,390.37,2021-09-28,open,0,0,0,false
APP-000004-TRD-03,APP-000004,BORR-000004,APP-000004-LIA-03,revolving_credit_card,Harborline Retail Credit,12011.33,42897.61,360.34,2024-11-24,open,0,0,0,false
APP-000004-TRD-04,APP-000004,BORR-000004,APP-000004-LIA-04,installment_personal,Pinnacle Auto Finance,7781.35,0,240.23,2025-03-26,open,0,0,0,false
APP-000005-TRD-01,APP-000005,BORR-000005,APP-000005-LIA-01,auto_loan,Harborline Retail Credit,18955.70,0,453.83,2024-07-13,open,0,0,0,false
APP-000005-TRD-02,APP-000005,BORR-000005,APP-000005-LIA-02,student_loan,Cascade Personal Loans,25464.57,0,347.05,2021-01-18,open,0,0,0,false
APP-000005-TRD-03,APP-000005,BORR-000005,APP-000005-LIA-03,revolving_credit_card,Pinnacle Auto Finance,10678.33,38136.89,320.35,2025-01-02,open,0,0,0,false
APP-000005-TRD-04,APP-000005,BORR-000005,APP-000005-LIA-04,installment_personal,Cascade Personal Loans,6917.80,0,213.57,2018-04-02,open,0,0,0,false
APP-000006-TRD-01,APP-000006,BORR-000007,APP-000006-LIA-01,auto_loan,Pinnacle Auto Finance,7690.80,0,184.13,2019-05-04,open,0,0,0,false
APP-000006-TRD-02,APP-000006,BORR-000007,APP-000006-LIA-02,student_loan,Cascade Personal Loans,10331.84,0,140.81,2020-09-07,open,0,0,0,false
APP-000006-TRD-03,APP-000006,BORR-000007,APP-000006-LIA-03,revolving_credit_card,Harborline Retail Credit,4332.67,15473.82,129.98,2019-04-03,open,0,0,0,false
APP-000006-TRD-04,APP-000006,BORR-000007,APP-000006-LIA-04,installment_personal,Pinnacle Auto Finance,2806.70,0,86.65,2024-09-12,open,0,0,0,false
APP-000007-TRD-01,APP-000007,BORR-000008,APP-000007-LIA-01,auto_loan,Pinnacle Auto Finance,17378.12,0,416.06,2019-10-03,open,0,0,0,false
APP-000007-TRD-02,APP-000007,BORR-000008,APP-000007-LIA-02,student_loan,Cascade Personal Loans,23344.78,0,318.16,2020-05-04,open,0,0,0,false
APP-000007-TRD-03,APP-000007,BORR-000008,APP-000007-LIA-03,revolving_credit_card,Harborline Retail Credit,9789.67,34963.11,293.69,2024-05-27,open,0,0,0,false
APP-000007-TRD-04,APP-000007,BORR-000008,APP-000007-LIA-04,installment_personal,Harborline Retail Credit,6342.21,0,195.80,2022-04-11,open,0,0,0,false
APP-000008-TRD-01,APP-000008,BORR-000009,APP-000008-LIA-01,auto_loan,Cascade Personal Loans,5348.43,0,128.05,2023-08-22,open,0,0,0,false
APP-000008-TRD-02,APP-000008,BORR-000009,APP-000008-LIA-02,student_loan,Sablefield Mortgage Servicing,7184.82,0,97.92,2023-01-24,open,0,0,0,false
APP-000008-TRD-03,APP-000008,BORR-000009,APP-000008-LIA-03,revolving_credit_card,Pinnacle Auto Finance,3013.00,10760.71,90.39,2019-01-11,open,0,0,0,false
APP-000008-TRD-04,APP-000008,BORR-000009,APP-000008-LIA-04,installment_personal,Pinnacle Auto Finance,1951.90,0,60.26,2023-02-11,open,0,0,0,false
APP-000009-TRD-01,APP-000009,BORR-000010,APP-000009-LIA-01,auto_loan,Cascade Personal Loans,10314.26,0,246.94,2020-12-17,open,0,0,0,false
APP-000009-TRD-02,APP-000009,BORR-000010,APP-000009-LIA-02,student_loan,Sablefield Mortgage Servicing,13856.01,0,188.84,2020-12-17,open,0,0,0,false
APP-000009-TRD-03,APP-000009,BORR-000010,APP-000009-LIA-03,revolving_credit_card,Pinnacle Auto Finance,5810.33,20751.18,174.31,2022-07-25,open,0,0,0,false
APP-000009-TRD-04,APP-000009,BORR-000010,APP-000009-LIA-04,installment_personal,Sablefield Mortgage Servicing,3763.86,0,116.20,2024-03-09,open,0,0,0,false
APP-000010-TRD-01,APP-000010,BORR-000011,APP-000010-LIA-01,auto_loan,Cascade Personal Loans,11326.31,0,271.17,2021-08-26,open,0,0,0,false
APP-000010-TRD-02,APP-000010,BORR-000011,APP-000010-LIA-02,student_loan,Sablefield Mortgage Servicing,15215.64,0,207.37,2024-12-11,open,0,0,0,false
APP-000010-TRD-03,APP-000010,BORR-000011,APP-000010-LIA-03,revolving_credit_card,Pinnacle Auto Finance,6380.67,22788.11,191.42,2019-04-25,open,0,0,0,false
APP-000010-TRD-04,APP-000010,BORR-000011,APP-000010-LIA-04,installment_personal,Sablefield Mortgage Servicing,4133.45,0,127.61,2020-06-19,open,0,0,0,false
APP-000011-TRD-01,APP-000011,BORR-000012,APP-000011-LIA-01,auto_loan,Sablefield Mortgage Servicing,8478.13,0,202.98,2019-02-10,open,0,0,0,false
APP-000011-TRD-02,APP-000011,BORR-000012,APP-000011-LIA-02,student_loan,Northwind Card Services,11389.17,0,155.22,2024-03-25,open,0,0,0,false
APP-000011-TRD-03,APP-000011,BORR-000012,APP-000011-LIA-03,revolving_credit_card,Cascade Personal Loans,4776.00,17057.14,143.28,2019-03-04,open,0,0,0,false
APP-000011-TRD-04,APP-000011,BORR-000012,APP-000011-LIA-04,installment_personal,Cascade Personal Loans,3094.01,0,95.52,2021-02-08,open,0,0,0,false
APP-000012-TRD-01,APP-000012,BORR-000013,APP-000012-LIA-01,auto_loan,Harborline Retail Credit,11745.66,0,281.21,2022-10-26,open,0,0,0,false
APP-000012-TRD-02,APP-000012,BORR-000013,APP-000012-LIA-02,student_loan,Harborline Retail Credit,15779.15,0,215.05,2020-12-13,open,0,0,0,false
APP-000012-TRD-03,APP-000012,BORR-000013,APP-000012-LIA-03,revolving_credit_card,Northwind Card Services,6616.67,23630.96,198.50,2025-03-03,open,0,0,0,false
APP-000012-TRD-04,APP-000012,BORR-000013,APP-000012-LIA-04,installment_personal,Harborline Retail Credit,4286.66,0,132.34,2017-12-28,open,0,0,0,false
APP-000013-TRD-01,APP-000013,BORR-000014,APP-000013-LIA-01,auto_loan,Sablefield Mortgage Servicing,11210.61,0,268.40,2020-06-29,open,0,0,0,false
APP-000013-TRD-02,APP-000013,BORR-000014,APP-000013-LIA-02,student_loan,Sablefield Mortgage Servicing,15060.08,0,205.25,2018-11-30,open,0,0,0,false
APP-000013-TRD-03,APP-000013,BORR-000014,APP-000013-LIA-03,revolving_credit_card,Harborline Retail Credit,6315.33,22554.75,189.46,2019-03-15,open,0,0,0,false
APP-000013-TRD-04,APP-000013,BORR-000014,APP-000013-LIA-04,installment_personal,Harborline Retail Credit,4091.02,0,126.30,2022-04-07,open,0,0,0,false
APP-000014-TRD-01,APP-000014,BORR-000016,APP-000014-LIA-01,auto_loan,Harborline Retail Credit,17504.26,0,419.08,2025-02-03,open,0,0,0,false
APP-000014-TRD-02,APP-000014,BORR-000016,APP-000014-LIA-02,student_loan,Harborline Retail Credit,23515.01,0,320.48,2018-05-29,open,0,0,0,false
APP-000014-TRD-03,APP-000014,BORR-000016,APP-000014-LIA-03,revolving_credit_card,Cascade Personal Loans,9860.67,35216.68,295.82,2024-06-21,open,0,0,0,false
APP-000014-TRD-04,APP-000014,BORR-000016,APP-000014-LIA-04,installment_personal,Northwind Card Services,6388.20,0,197.22,2022-04-10,open,0,0,0,false
APP-000015-TRD-01,APP-000015,BORR-000017,APP-000015-LIA-01,auto_loan,Cascade Personal Loans,9295.95,0,222.56,2019-10-26,open,0,0,0,false
APP-000015-TRD-02,APP-000015,BORR-000017,APP-000015-LIA-02,student_loan,Harborline Retail Credit,12488.31,0,170.20,2024-04-26,open,0,0,0,false
APP-000015-TRD-03,APP-000015,BORR-000017,APP-000015-LIA-03,revolving_credit_card,Northwind Card Services,5236.67,18702.39,157.10,2018-10-18,open,0,0,0,false
APP-000015-TRD-04,APP-000015,BORR-000017,APP-000015-LIA-04,installment_personal,Cascade Personal Loans,3392.66,0,104.74,2022-08-13,open,0,0,0,false
APP-000016-TRD-01,APP-000016,BORR-000019,APP-000016-LIA-01,auto_loan,Sablefield Mortgage Servicing,7760.97,0,185.81,2024-09-02,open,0,0,0,false
APP-000016-TRD-02,APP-000016,BORR-000019,APP-000016-LIA-02,student_loan,Sablefield Mortgage Servicing,10425.76,0,142.09,2023-03-23,open,0,0,0,false
APP-000016-TRD-03,APP-000016,BORR-000019,APP-000016-LIA-03,revolving_credit_card,Northwind Card Services,4372.00,15614.29,131.16,2023-09-23,open,0,0,0,false
APP-000016-TRD-04,APP-000016,BORR-000019,APP-000016-LIA-04,installment_personal,Cascade Personal Loans,2831.97,0,87.43,2019-03-28,open,0,0,0,false
APP-000017-TRD-01,APP-000017,BORR-000020,APP-000017-LIA-01,auto_loan,Summit Education Lending,20782.23,0,497.56,2022-07-06,open,0,0,0,false
APP-000017-TRD-02,APP-000017,BORR-000020,APP-000017-LIA-02,student_loan,Summit Education Lending,27918.21,0,380.49,2022-02-24,open,0,0,0,false
APP-000017-TRD-03,APP-000017,BORR-000020,APP-000017-LIA-03,revolving_credit_card,Summit Education Lending,11707.33,41811.89,351.22,2018-09-18,open,0,0,0,false
