credit_profile_id,application_id,borrower_id,credit_file_token,credit_file_masked,report_date,report_age_days,bureau_vendor,score_model,score_1,score_2,score_3,representative_score,representative_score_rule_id,scoreable_tradelines,recent_inquiries_90d
APP-000001-CRP-1,APP-000001,BORR-000001,SYN-CRDT-000001,****0001,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,733,742,750,742,CRD-SCR-002,6,1
APP-000002-CRP-1,APP-000002,BORR-000002,SYN-CRDT-000002,****0002,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,728,742,750,742,CRD-SCR-002,6,1
APP-000003-CRP-1,APP-000003,BORR-000003,SYN-CRDT-000003,****0003,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,587,598,608,598,CRD-SCR-002,6,1
APP-000004-CRP-1,APP-000004,BORR-000004,SYN-CRDT-000004,****0004,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,734,742,746,742,CRD-SCR-002,6,1
APP-000005-CRP-1,APP-000005,BORR-000005,SYN-CRDT-000005,****0005,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,683,688,695,688,CRD-SCR-002,6,1
APP-000005-CRP-2,APP-000005,BORR-000006,SYN-CRDT-000006,****0006,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,722,731,734,731,CRD-SCR-002,6,1
APP-000006-CRP-1,APP-000006,BORR-000007,SYN-CRDT-000007,****0007,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,735,742,753,742,CRD-SCR-002,6,1
APP-000007-CRP-1,APP-000007,BORR-000008,SYN-CRDT-000008,****0008,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,702,706,711,706,CRD-SCR-002,6,1
APP-000008-CRP-1,APP-000008,BORR-000009,SYN-CRDT-000009,****0009,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,738,742,745,742,CRD-SCR-002,6,1
APP-000009-CRP-1,APP-000009,BORR-000010,SYN-CRDT-000010,****0010,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,735,742,745,742,CRD-SCR-002,6,1
APP-000010-CRP-1,APP-000010,BORR-000011,SYN-CRDT-000011,****0011,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,700,712,717,712,CRD-SCR-002,6,1
APP-000011-CRP-1,APP-000011,BORR-000012,SYN-CRDT-000012,****0012,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,730,742,747,742,CRD-SCR-002,6,1
APP-000012-CRP-1,APP-000012,BORR-000013,SYN-CRDT-000013,****0013,2026-08-14,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,728,742,752,742,CRD-SCR-002,6,1
