decision_id,application_id,decision_stage,decision_type,result,actor_type,actor_id,decision_date,risk_level,eligibility_result,requires_human_review
APP-000001-DEC-01,APP-000001,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000002-DEC-01,APP-000002,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,true
APP-000002-DEC-02,APP-000002,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,LOW,ELIGIBLE,true
APP-000003-DEC-01,APP-000003,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,INELIGIBLE,true
APP-000003-DEC-02,APP-000003,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,INELIGIBLE,true
APP-000004-DEC-01,APP-000004,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,INELIGIBLE,true
APP-000004-DEC-02,APP-000004,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,INELIGIBLE,true
APP-000005-DEC-01,APP-000005,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000006-DEC-01,APP-000006,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,INELIGIBLE,true
APP-000006-DEC-02,APP-000006,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,INELIGIBLE,true
APP-000007-DEC-01,APP-000007,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,INELIGIBLE,true
APP-000007-DEC-02,APP-000007,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,INELIGIBLE,true
APP-000008-DEC-01,APP-000008,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,true
APP-000008-DEC-02,APP-000008,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,LOW,ELIGIBLE,true
APP-000009-DEC-01,APP-000009,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,true
APP-000009-DEC-02,APP-000009,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,LOW,ELIGIBLE,true
APP-000010-DEC-01,APP-000010,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
