eligibility_result_id,application_id,programme,result,determining_rule_ids,as_of_date
APP-000001-ELIG,APP-000001,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000002-ELIG,APP-000002,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000003-ELIG,APP-000003,conventional_conforming,INELIGIBLE,CRD-SCR-003,2026-08-12
APP-000004-ELIG,APP-000004,conventional_conforming,INELIGIBLE,DTI-CONV-001,2026-08-12
APP-000005-ELIG,APP-000005,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000006-ELIG,APP-000006,conventional_conforming,INELIGIBLE,AST-FTC-003,2026-08-12
APP-000007-ELIG,APP-000007,conventional_conforming,INELIGIBLE,AST-RSV-002|DTI-CONV-001,2026-08-12
APP-000008-ELIG,APP-000008,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000009-ELIG,APP-000009,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000010-ELIG,APP-000010,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000011-ELIG,APP-000011,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000012-ELIG,APP-000012,conventional_conforming,ELIGIBLE,,2026-09-04
APP-000013-ELIG,APP-000013,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000014-ELIG,APP-000014,conventional_conforming,INELIGIBLE,DTI-CONV-001,2026-08-12
APP-000015-ELIG,APP-000015,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000016-ELIG,APP-000016,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000017-ELIG,APP-000017,jumbo,ELIGIBLE,,2026-08-12
APP-000018-ELIG,APP-000018,jumbo,ELIGIBLE,,2026-09-04
APP-000019-ELIG,APP-000019,fha,ELIGIBLE,,2026-08-12
APP-000020-ELIG,APP-000020,va,INELIGIBLE,VA-OVL-003,2026-08-12
APP-000021-ELIG,APP-000021,usda,INELIGIBLE,USD-OVL-002,2026-08-12
APP-000022-ELIG,APP-000022,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000023-ELIG,APP-000023,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000024-ELIG,APP-000024,conventional_conforming,INELIGIBLE,CONV-COR-001,2026-08-12
APP-000025-ELIG,APP-000025,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000026-ELIG,APP-000026,conventional_conforming,INELIGIBLE,AST-FTC-003|AST-RSV-002|AST-SRC-001,2026-08-12
APP-000027-ELIG,APP-000027,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000028-ELIG,APP-000028,conventional_conforming,INELIGIBLE,CRD-EVT-001,2026-08-12
APP-000029-ELIG,APP-000029,conventional_conforming,INELIGIBLE,CRD-EVT-001,2026-08-12
APP-000030-ELIG,APP-000030,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000031-ELIG,APP-000031,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000032-ELIG,APP-000032,conventional_conforming,ELIGIBLE,CRD-EVT-003,2026-08-12
APP-000033-ELIG,APP-000033,conventional_conforming,ELIGIBLE,,2026-09-04
APP-000034-ELIG,APP-000034,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000035-ELIG,APP-000035,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000036-ELIG,APP-000036,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000037-ELIG,APP-000037,conventional_conforming,ELIGIBLE,,2026-08-12
