insurance_record_id,application_id,coverage_type,carrier,annual_premium,coverage_amount,effective_date,evidenced,rule_id
APP-000001-INS-HAZ,APP-000001,hazard,Thornhill Insurance Brokers,1400.04,320000.00,2026-09-02,true,TTL-INS-001
APP-000002-INS-HAZ,APP-000002,hazard,Thornhill Insurance Brokers,1434.96,328000.00,2026-09-02,true,TTL-INS-001
APP-000003-INS-HAZ,APP-000003,hazard,Thornhill Insurance Brokers,1890.00,432000.00,2026-09-02,true,TTL-INS-001
APP-000004-INS-HAZ,APP-000004,hazard,Thornhill Insurance Brokers,1329.96,304000.00,2026-09-02,true,TTL-INS-001
APP-000005-INS-HAZ,APP-000005,hazard,Thornhill Insurance Brokers,1749.96,485000.00,2026-09-02,true,TTL-INS-001
APP-000006-INS-HAZ,APP-000006,hazard,Thornhill Insurance Brokers,1365.00,312000.00,2026-09-02,true,TTL-INS-001
APP-000007-INS-HAZ,APP-000007,hazard,Thornhill Insurance Brokers,1470.00,399000.00,2026-09-02,true,TTL-INS-001
APP-000008-INS-HAZ,APP-000008,hazard,Thornhill Insurance Brokers,1539.96,352000.00,2026-09-02,true,TTL-INS-001
APP-000009-INS-HAZ,APP-000009,hazard,Thornhill Insurance Brokers,1400.04,320000.00,2026-09-02,true,TTL-INS-001
APP-000010-INS-HAZ,APP-000010,hazard,Thornhill Insurance Brokers,1365.00,312000.00,2026-09-02,true,TTL-INS-001
APP-000011-INS-HAZ,APP-000011,hazard,Thornhill Insurance Brokers,1470.00,336000.00,2026-09-02,true,TTL-INS-001
APP-000012-INS-HAZ,APP-000012,hazard,Thornhill Insurance Brokers,1680.00,384000.00,2026-09-25,true,TTL-INS-001
APP-000013-INS-HAZ,APP-000013,hazard,Thornhill Insurance Brokers,1854.96,424000.00,2026-09-02,true,TTL-INS-001
APP-000014-INS-HAZ,APP-000014,hazard,Thornhill Insurance Brokers,1329.96,304000.00,2026-09-02,true,TTL-INS-001
APP-000015-INS-HAZ,APP-000015,hazard,Thornhill Insurance Brokers,1680.00,384000.00,2026-09-02,true,TTL-INS-001
APP-000016-INS-HAZ,APP-000016,hazard,Thornhill Insurance Brokers,1854.96,424000.00,2026-09-02,true,TTL-INS-001
APP-000017-INS-HAZ,APP-000017,hazard,Thornhill Insurance Brokers,4794.96,986400.00,2026-09-02,true,TTL-INS-001
APP-000018-INS-HAZ,APP-000018,hazard,Thornhill Insurance Brokers,8225.04,1645000.00,2026-09-25,true,TTL-INS-001
APP-000019-INS-HAZ,APP-000019,hazard,Thornhill Insurance Brokers,699.96,193000.00,2026-09-02,true,TTL-INS-001
APP-000020-INS-HAZ,APP-000020,hazard,Thornhill Insurance Brokers,630.00,180000.00,2026-09-02,true,TTL-INS-001
APP-000021-INS-HAZ,APP-000021,hazard,Thornhill Insurance Brokers,735.00,210000.00,2026-09-02,true,TTL-INS-001
APP-000022-INS-HAZ,APP-000022,hazard,Thornhill Insurance Brokers,1713.60,381888.00,2026-09-02,true,TTL-INS-001
APP-000023-INS-HAZ,APP-000023,hazard,Thornhill Insurance Brokers,1570.80,332112.00,2026-09-02,true,TTL-INS-001
APP-000024-INS-HAZ,APP-000024,hazard,Thornhill Insurance Brokers,1749.36,349860.00,2026-09-02,true,TTL-INS-001
APP-000025-INS-HAZ,APP-000025,hazard,Thornhill Insurance Brokers,1434.96,348500.00,2026-09-02,true,TTL-INS-001
APP-000026-INS-HAZ,APP-000026,hazard,Thornhill Insurance Brokers,1365.00,312000.00,2026-09-02,true,TTL-INS-001
APP-000027-INS-HAZ,APP-000027,hazard,Thornhill Insurance Brokers,1680.00,384000.00,2026-09-02,true,TTL-INS-001
APP-000028-INS-HAZ,APP-000028,hazard,Thornhill Insurance Brokers,1365.00,312000.00,2026-09-02,true,TTL-INS-001
APP-000029-INS-HAZ,APP-000029,hazard,Thornhill Insurance Brokers,1925.04,440000.00,2026-09-02,true,TTL-INS-001
APP-000030-INS-HAZ,APP-000030,hazard,Thornhill Insurance Brokers,1610.04,368000.00,2026-09-02,true,TTL-INS-001
APP-000031-INS-HAZ,APP-000031,hazard,Thornhill Insurance Brokers,1854.96,424000.00,2026-09-02,true,TTL-INS-001
APP-000032-INS-HAZ,APP-000032,hazard,Thornhill Insurance Brokers,1644.96,376000.00,2026-09-02,true,TTL-INS-001
APP-000033-INS-HAZ,APP-000033,hazard,Thornhill Insurance Brokers,1785.00,408000.00,2026-09-25,true,TTL-INS-001
APP-000034-INS-HAZ,APP-000034,hazard,Thornhill Insurance Brokers,1329.96,304000.00,2026-09-02,true,TTL-INS-001
APP-000035-INS-HAZ,APP-000035,hazard,Thornhill Insurance Brokers,1959.96,448000.00,2026-09-02,true,TTL-INS-001
APP-000036-INS-HAZ,APP-000036,hazard,Thornhill Insurance Brokers,1644.96,376000.00,2026-09-02,true,TTL-INS-001
APP-000037-INS-HAZ,APP-000037,hazard,Thornhill Insurance Brokers,1400.04,320000.00,2026-09-02,true,TTL-INS-001
APP-000038-INS-HAZ,APP-000038,hazard,Thornhill Insurance Brokers,1400.04,320000.00,2026-09-02,true,TTL-INS-001
APP-000039-INS-HAZ,APP-000039,hazard,Thornhill Insurance Brokers,1505.04,344000.00,2026-09-02,true,TTL-INS-001
APP-000040-INS-HAZ,APP-000040,hazard,Thornhill Insurance Brokers,1610.04,368000.00,2026-09-02,true,TTL-INS-001
APP-000041-INS-HAZ,APP-000041,hazard,Thornhill Insurance Brokers,1820.04,468000.00,2026-09-02,true,TTL-INS-001
APP-000042-INS-HAZ,APP-000042,hazard,Thornhill Insurance Brokers,1749.96,450000.00,2026-09-02,true,TTL-INS-001
APP-000043-INS-HAZ,APP-000043,hazard,Thornhill Insurance Brokers,1470.00,336000.00,2026-09-02,true,TTL-INS-001
APP-000044-INS-HAZ,APP-000044,hazard,Thornhill Insurance Brokers,1854.96,424000.00,2026-09-02,true,TTL-INS-001
APP-000045-INS-HAZ,APP-000045,hazard,Thornhill Insurance Brokers,1365.00,312000.00,2026-09-02,true,TTL-INS-001
APP-000046-INS-HAZ,APP-000046,hazard,Thornhill Insurance Brokers,1715.04,392000.00,2026-09-02,true,TTL-INS-001
APP-000047-INS-HAZ,APP-000047,hazard,Thornhill Insurance Brokers,1820.04,416000.00,2026-09-25,true,TTL-INS-001
APP-000047-INS-FLD,APP-000047,flood,Thornhill Insurance Brokers,624.00,416000.00,2026-09-25,true,PRP-ELG-004
APP-000048-INS-HAZ,APP-000048,hazard,Thornhill Insurance Brokers,1890.00,432000.00,2026-09-02,true,TTL-INS-001
APP-000048-INS-FLD,APP-000048,flood,Thornhill Insurance Brokers,648.00,432000.00,2026-09-02,false,PRP-ELG-004
APP-000049-INS-HAZ,APP-000049,hazard,Thornhill Insurance Brokers,1365.00,312000.00,2026-09-02,true,TTL-INS-001
APP-000050-INS-HAZ,APP-000050,hazard,Thornhill Insurance Brokers,1677.96,431460.00,2026-09-02,true,TTL-INS-001
APP-000051-INS-HAZ,APP-000051,hazard,Thornhill Insurance Brokers,1539.96,352000.00,2026-09-02,true,TTL-INS-001
APP-000052-INS-HAZ,APP-000052,hazard,Thornhill Insurance Brokers,1434.96,307500.00,2026-09-25,true,TTL-INS-001
APP-000053-INS-HAZ,APP-000053,hazard,Thornhill Insurance Brokers,1959.96,420000.00,2026-07-16,true,TTL-INS-001
APP-000054-INS-HAZ,APP-000054,hazard,Thornhill Insurance Brokers,1470.00,336000.00,2026-09-02,true,TTL-INS-001
