liability_id,application_id,liability_type,creditor,balance,monthly_payment,remaining_term_months,credit_limit,include_in_dti,inclusion_rule_id,source
APP-000001-LIA-01,APP-000001,auto_loan,Northwind Card Services,3546.13,84.90,48,0,true,LIA-INC-001,credit_report
APP-000001-LIA-02,APP-000001,student_loan,Summit Education Lending,4763.46,64.92,96,0,true,LIA-INC-001,credit_report
APP-000001-LIA-03,APP-000001,revolving_credit_card,Northwind Card Services,1997.67,59.93,,7134.54,true,LIA-INC-003,credit_report
APP-000001-LIA-04,APP-000001,installment_personal,Harborline Retail Credit,1294.35,39.96,36,0,true,LIA-INC-001,credit_report
APP-000002-LIA-01,APP-000002,auto_loan,Harborline Retail Credit,14770.94,353.64,48,0,true,LIA-INC-001,credit_report
APP-000002-LIA-02,APP-000002,student_loan,Harborline Retail Credit,19842.62,270.43,96,0,true,LIA-INC-001,credit_report
APP-000002-LIA-03,APP-000002,revolving_credit_card,Pinnacle Auto Finance,8321.00,249.63,,29717.86,true,LIA-INC-003,credit_report
APP-000002-LIA-04,APP-000002,installment_personal,Northwind Card Services,5390.23,166.41,36,0,true,LIA-INC-001,credit_report
APP-000003-LIA-01,APP-000003,auto_loan,Summit Education Lending,7993.62,191.38,48,0,true,LIA-INC-001,credit_report
APP-000003-LIA-02,APP-000003,student_loan,Pinnacle Auto Finance,10738.34,146.35,96,0,true,LIA-INC-001,credit_report
APP-000003-LIA-03,APP-000003,revolving_credit_card,Sablefield Mortgage Servicing,4503.00,135.09,,16082.14,true,LIA-INC-003,credit_report
APP-000003-LIA-04,APP-000003,installment_personal,Summit Education Lending,2917.16,90.06,36,0,true,LIA-INC-001,credit_report
APP-000004-LIA-01,APP-000004,auto_loan,Northwind Card Services,21322.30,510.49,48,0,true,LIA-INC-001,credit_report
APP-000004-LIA-02,APP-000004,student_loan,Harborline Retail Credit,28643.14,390.37,96,0,true,LIA-INC-001,credit_report
APP-000004-LIA-03,APP-000004,revolving_credit_card,Harborline Retail Credit,12011.33,360.34,,42897.61,true,LIA-INC-003,credit_report
APP-000004-LIA-04,APP-000004,installment_personal,Pinnacle Auto Finance,7781.35,240.23,36,0,true,LIA-INC-001,credit_report
APP-000005-LIA-01,APP-000005,auto_loan,Harborline Retail Credit,18955.70,453.83,48,0,true,LIA-INC-001,credit_report
APP-000005-LIA-02,APP-000005,student_loan,Cascade Personal Loans,25464.57,347.05,96,0,true,LIA-INC-001,credit_report
APP-000005-LIA-03,APP-000005,revolving_credit_card,Pinnacle Auto Finance,10678.33,320.35,,38136.89,true,LIA-INC-003,credit_report
APP-000005-LIA-04,APP-000005,installment_personal,Cascade Personal Loans,6917.80,213.57,36,0,true,LIA-INC-001,credit_report
APP-000006-LIA-01,APP-000006,auto_loan,Pinnacle Auto Finance,7690.80,184.13,48,0,true,LIA-INC-001,credit_report
APP-000006-LIA-02,APP-000006,student_loan,Cascade Personal Loans,10331.84,140.81,96,0,true,LIA-INC-001,credit_report
APP-000006-LIA-03,APP-000006,revolving_credit_card,Harborline Retail Credit,4332.67,129.98,,15473.82,true,LIA-INC-003,credit_report
APP-000006-LIA-04,APP-000006,installment_personal,Pinnacle Auto Finance,2806.70,86.65,36,0,true,LIA-INC-001,credit_report
APP-000007-LIA-01,APP-000007,auto_loan,Pinnacle Auto Finance,17378.12,416.06,48,0,true,LIA-INC-001,credit_report
APP-000007-LIA-02,APP-000007,student_loan,Cascade Personal Loans,23344.78,318.16,96,0,true,LIA-INC-001,credit_report
APP-000007-LIA-03,APP-000007,revolving_credit_card,Harborline Retail Credit,9789.67,293.69,,34963.11,true,LIA-INC-003,credit_report
APP-000007-LIA-04,APP-000007,installment_personal,Harborline Retail Credit,6342.21,195.80,36,0,true,LIA-INC-001,credit_report
APP-000008-LIA-01,APP-000008,auto_loan,Cascade Personal Loans,5348.43,128.05,48,0,true,LIA-INC-001,credit_report
APP-000008-LIA-02,APP-000008,student_loan,Sablefield Mortgage Servicing,7184.82,97.92,96,0,true,LIA-INC-001,credit_report
APP-000008-LIA-03,APP-000008,revolving_credit_card,Pinnacle Auto Finance,3013.00,90.39,,10760.71,true,LIA-INC-003,credit_report
APP-000008-LIA-04,APP-000008,installment_personal,Pinnacle Auto Finance,1951.90,60.26,36,0,true,LIA-INC-001,credit_report
APP-000009-LIA-01,APP-000009,auto_loan,Cascade Personal Loans,10314.26,246.94,48,0,true,LIA-INC-001,credit_report
