loan_id,application_id,product_family,loan_purpose,base_loan_amount,financed_premium_amount,note_amount,term_months,interest_rate,rate_type,lien_position,amortisation_type,principal_and_interest,monthly_mortgage_insurance,down_payment_amount,seller_credits,lender_credits,closing_costs,prepaids_and_escrow,earnest_money_paid,payoff_amount,cash_out_proceeds
APP-000001-LOAN,APP-000001,conventional_conforming,purchase,320000.00,0,320000.00,360,0.0665,fixed,1,fully_amortising,2054.29,0,80000.00,8000.00,0,5850.00,1837.85,4000.00,0,0
APP-000002-LOAN,APP-000002,conventional_conforming,purchase,328000.00,0,328000.00,360,0.0665,fixed,1,fully_amortising,2105.64,0,82000.00,0,0,5950.00,3267.55,4100.00,0,0
APP-000003-LOAN,APP-000003,conventional_conforming,purchase,432000.00,0,432000.00,360,0.0665,fixed,1,fully_amortising,2773.29,0,108000.00,10800.00,0,7250.00,2481.10,5400.00,0,0
APP-000004-LOAN,APP-000004,conventional_conforming,purchase,304000.00,0,304000.00,360,0.0665,fixed,1,fully_amortising,1951.57,0,76000.00,7600.00,0,5650.00,1973.96,3800.00,0,0
APP-000005-LOAN,APP-000005,conventional_conforming,purchase,485000.00,0,485000.00,360,0.0665,fixed,1,fully_amortising,3113.53,379.92,15000.00,0,0,7912.50,2304.62,5000.00,0,0
APP-000006-LOAN,APP-000006,conventional_conforming,purchase,312000.00,0,312000.00,360,0.0665,fixed,1,fully_amortising,2002.93,0,78000.00,0,0,5750.00,2581.66,3900.00,0,0
APP-000007-LOAN,APP-000007,conventional_conforming,purchase,399000.00,0,399000.00,360,0.0665,fixed,1,fully_amortising,2561.44,259.35,21000.00,0,0,6837.50,3519.42,4200.00,0,0
APP-000008-LOAN,APP-000008,conventional_conforming,purchase,352000.00,0,352000.00,360,0.0665,fixed,1,fully_amortising,2259.72,0,88000.00,8800.00,0,6250.00,2230.62,4400.00,0,0
APP-000009-LOAN,APP-000009,conventional_conforming,purchase,320000.00,0,320000.00,360,0.0665,fixed,1,fully_amortising,2054.29,0,80000.00,0,0,5850.00,2507.87,4000.00,0,0
APP-000010-LOAN,APP-000010,conventional_conforming,purchase,312000.00,0,312000.00,360,0.0665,fixed,1,fully_amortising,2002.93,0,78000.00,7800.00,0,5750.00,2454.91,3900.00,0,0
APP-000011-LOAN,APP-000011,conventional_conforming,purchase,336000.00,0,336000.00,360,0.0665,fixed,1,fully_amortising,2157.00,0,84000.00,0,0,6050.00,1740.75,4200.00,0,0
APP-000012-LOAN,APP-000012,conventional_conforming,purchase,384000.00,0,384000.00,360,0.0665,fixed,1,fully_amortising,2465.15,0,96000.00,0,0,6650.00,2493.42,4800.00,0,0
APP-000013-LOAN,APP-000013,conventional_conforming,purchase,424000.00,0,424000.00,360,0.0665,fixed,1,fully_amortising,2721.93,0,106000.00,0,0,7150.00,2647.14,5300.00,0,0
APP-000014-LOAN,APP-000014,conventional_conforming,purchase,304000.00,0,304000.00,360,0.0665,fixed,1,fully_amortising,1951.57,0,76000.00,0,0,5650.00,1793.45,3800.00,0,0
APP-000015-LOAN,APP-000015,conventional_conforming,purchase,384000.00,0,384000.00,360,0.0665,fixed,1,fully_amortising,2465.15,0,96000.00,0,0,6650.00,3021.42,4800.00,0,0
APP-000016-LOAN,APP-000016,conventional_conforming,purchase,424000.00,0,424000.00,360,0.0665,fixed,1,fully_amortising,2721.93,0,106000.00,10600.00,0,7150.00,2342.40,5300.00,0,0
APP-000017-LOAN,APP-000017,jumbo,purchase,986400.00,0,986400.00,360,0.0665,fixed,1,fully_amortising,6332.34,0,383600.00,27400.00,0,14180.00,8769.38,13700.00,0,0
APP-000018-LOAN,APP-000018,jumbo,purchase,1645000.00,0,1645000.00,360,0.0665,fixed,1,fully_amortising,10560.32,0,705000.00,0,0,22412.50,11271.43,23500.00,0,0
APP-000019-LOAN,APP-000019,fha,purchase,193000.00,3377.50,196377.50,360,0.0665,fixed,1,fully_amortising,1260.67,90.01,7000.00,0,0,4304.72,1018.35,2000.00,0,0
APP-000020-LOAN,APP-000020,va,purchase,180000.00,4140.00,184140.00,360,0.0665,fixed,1,fully_amortising,1182.11,0,0.00,0,0,4151.75,1548.73,1800.00,0,0
APP-000021-LOAN,APP-000021,usda,purchase,210000.00,2100.00,212100.00,360,0.0665,fixed,1,fully_amortising,1361.61,61.86,0.00,0,0,4501.25,1111.64,2100.00,0,0
APP-000022-LOAN,APP-000022,conventional_conforming,rate_term_refinance,381888.00,0,381888.00,360,0.0665,fixed,1,fully_amortising,2451.59,0,0,0,0,6623.60,3544.69,0,313148.16,0
